,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_neighbors': 31},0.75,0.69,0.75,0.98,0.49,0.06,966.00,326.00,"{'0': {'precision': 0.754581673306773, 'recall': 0.9803312629399586, 'f1-score': 0.8527690229626295, 'support': 966}, '1': {'precision': 0.4864864864864865, 'recall': 0.05521472392638037, 'f1-score': 0.09917355371900827, 'support': 326}, 'micro avg': {'precision': 0.7469040247678018, 'recall': 0.7469040247678018, 'f1-score': 0.7469040247678018, 'support': 1292}, 'macro avg': {'precision': 0.6205340798966297, 'recall': 0.5177729934331695, 'f1-score': 0.47597128834081887, 'support': 1292}, 'weighted avg': {'precision': 0.686935364558001, 'recall': 0.7469040247678018, 'f1-score': 0.6626203209708178, 'support': 1292}}",9.61
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.75,0.56,0.75,1.00,0.00,0.00,966.00,326.00,"{'0': {'precision': 0.7476780185758514, 'recall': 1.0, 'f1-score': 0.8556244464127546, 'support': 966}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 326}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.3738390092879257, 'recall': 0.5, 'f1-score': 0.4278122232063773, 'support': 1292}, 'weighted avg': {'precision': 0.5590224194615112, 'recall': 0.7476780185758514, 'f1-score': 0.6397315907389481, 'support': 1292}}",10.14
2,clf,dtree,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 150}",0.75,0.69,0.76,0.97,0.48,0.07,966.00,326.00,"{'0': {'precision': 0.7568438003220612, 'recall': 0.9730848861283644, 'f1-score': 0.8514492753623188, 'support': 966}, '1': {'precision': 0.48, 'recall': 0.0736196319018405, 'f1-score': 0.1276595744680851, 'support': 326}, 'micro avg': {'precision': 0.7461300309597523, 'recall': 0.7461300309597523, 'f1-score': 0.7461300309597522, 'support': 1292}, 'macro avg': {'precision': 0.6184219001610306, 'recall': 0.5233522590151024, 'f1-score': 0.48955442491520196, 'support': 1292}, 'weighted avg': {'precision': 0.6869900240798074, 'recall': 0.7461300309597523, 'f1-score': 0.6688212238982939, 'support': 1292}}",0.79
3,clf,rforest,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.74,0.67,0.75,0.97,0.43,0.06,966.00,326.00,"{'0': {'precision': 0.7546259050683829, 'recall': 0.9710144927536232, 'f1-score': 0.8492530556813037, 'support': 966}, '1': {'precision': 0.42857142857142855, 'recall': 0.06441717791411043, 'f1-score': 0.112, 'support': 326}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.5915986668199057, 'recall': 0.5177158353338668, 'f1-score': 0.48062652784065185, 'support': 1292}, 'weighted avg': {'precision': 0.6723551935064579, 'recall': 0.7422600619195047, 'f1-score': 0.663227903860789, 'support': 1292}}",29.77
4,clf,xgb,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_estimators': 50},0.75,0.70,0.76,0.96,0.52,0.12,966.00,326.00,"{'0': {'precision': 0.7641741988496302, 'recall': 0.9627329192546584, 'f1-score': 0.8520384791571232, 'support': 966}, '1': {'precision': 0.52, 'recall': 0.1196319018404908, 'f1-score': 0.1945137157107232, 'support': 326}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.6420870994248151, 'recall': 0.5411824105475747, 'f1-score': 0.5232760974339232, 'support': 1292}, 'weighted avg': {'precision': 0.7025636811832374, 'recall': 0.75, 'f1-score': 0.686130528008883, 'support': 1292}}",0.52
5,clf,gboosting,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_estimators': 100},0.75,0.71,0.77,0.95,0.53,0.17,966.00,326.00,"{'0': {'precision': 0.7725358045492839, 'recall': 0.9492753623188406, 'f1-score': 0.8518346493265212, 'support': 966}, '1': {'precision': 0.5333333333333333, 'recall': 0.17177914110429449, 'f1-score': 0.25986078886310904, 'support': 326}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.6529345689413086, 'recall': 0.5605272517115676, 'f1-score': 0.5558477190948151, 'support': 1292}, 'weighted avg': {'precision': 0.7121797630505224, 'recall': 0.7530959752321982, 'f1-score': 0.7024666319030906, 'support': 1292}}",1.26
6,clf,ada,max,basic,ALL_NO_1_1_1,60_180,included,basic,0.74,{'n_estimators': 100},0.74,0.70,0.77,0.92,0.47,0.21,966.00,326.00,"{'0': {'precision': 0.774869109947644, 'recall': 0.9192546583850931, 'f1-score': 0.8409090909090908, 'support': 966}, '1': {'precision': 0.4657534246575342, 'recall': 0.2085889570552147, 'f1-score': 0.28813559322033894, 'support': 326}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6203112673025891, 'recall': 0.5639218077201539, 'f1-score': 0.5645223420647149, 'support': 1292}, 'weighted avg': {'precision': 0.6968724277459599, 'recall': 0.739938080495356, 'f1-score': 0.7014321866935079, 'support': 1292}}",1.26
0,reg,kn,max,basic,ALL_NO_1_1_1,60_180,included,basic,19.78,{'n_neighbors': 51},,,,,,,,,19.50,10.52
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,60_180,included,basic,21.51,"{'C': 5, 'gamma': 1}",,,,,,,,,21.21,10.60
2,reg,dtree,max,basic,ALL_NO_1_1_1,60_180,included,basic,19.56,"{'max_depth': 4, 'min_samples_leaf': 150}",,,,,,,,,19.45,0.85
